user_id,event
1,registration
1,view_product
1,add_to_cart
1,purchase
2,registration
2,view_product
2,add_to_cart
2,purchase
3,registration
3,view_product
3,add_to_cart
3,purchase
4,registration
4,view_product
4,add_to_cart
4,purchase
5,registration
5,view_product
5,add_to_cart
5,purchase
6,registration
6,view_product
6,add_to_cart
6,purchase
7,registration
7,view_product
7,add_to_cart
8,registration
8,view_product
8,add_to_cart
9,registration
9,view_product
9,add_to_cart
10,registration
10,view_product
10,add_to_cart
11,registration
11,view_product
12,registration
12,view_product
13,registration
13,view_product
14,registration
14,view_product
15,registration
